0	<unk>	0	32537
1	,	1	46476
2	the	2	39533
3	.	3	37452
4	of	4	22104
5	to	5	21305
6	a	6	18469
7	and	7	15346
8	in	8	14609
9	's	9	8872
10	for	10	7743
11	that	11	7723
12	$	12	6762
13	is	13	6735
14	``	14	6673
15	The	15	6578
16	''	16	6500
17	said	17	5418
18	on	18	4905
19	%	19	4718
20	it	20	4509
21	by	21	4274
22	from	22	4238
23	at	23	4142
24	million	24	4122
25	as	25	4054
26	with	26	3987
27	Mr.	27	3856
28	are	28	3629
29	was	29	3615
30	be	30	3584
31	its	31	3382
32	has	32	3184
33	n't	33	3132
34	an	34	3015
35	have	35	2993
36	will	36	2982
37	he	37	2496
38	company	38	2429
39	or	39	2429
40	which	40	2164
41	year	41	2162
42	would	42	2108
43	--	43	2005
44	about	44	1991
45	says	45	1948
46	they	46	1904
47	this	47	1844
48	more	48	1842
49	were	49	1776
50	market	50	1760
51	In	51	1706
52	billion	52	1680
53	But	53	1668
54	their	54	1655
55	had	55	1625
56	up	56	1625
57	than	57	1586
58	U.S.	58	1552
59	but	59	1552
60	his	60	1547
61	who	61	1509
62	been	62	1500
63	also	63	1399
64	new	64	1384
65	share	65	1358
66	one	66	1347
67	other	67	1344
68	:	68	1292
69	not	69	1262
70	some	70	1252
71	I	71	1188
72	New	72	1178
73	Corp.	73	1163
74	years	74	1130
75	;	75	1129
76	)	76	1122
77	shares	77	1113
78	(	78	1109
79	stock	79	1103
80	It	80	1088
81	could	81	1033
82	trading	82	1018
83	Inc.	83	1018
84	all	84	1017
85	last	85	1009
86	two	86	988
87	&	87	977
88	because	88	971
89	out	89	969
90	when	90	936
91	do	91	899
92	only	92	897
93	can	93	896
94	York	94	887
95	into	95	881
96	after	96	873
97	president	97	869
98	A	98	869
99	such	99	860
100	business	100	858
101	Co.	101	854
102	over	102	844
103	first	103	829
104	He	104	813
105	sales	105	805
106	companies	106	790
107	if	107	787
108	government	108	780
109	may	109	772
110	most	110	766
111	cents	111	745
112	any	112	727
113	we	113	725
114	many	114	720
115	'	115	712
116	time	116	704
117	say	117	701
118	quarter	118	682
119	there	119	680
120	prices	120	677
121	no	121	671
122	down	122	663
123	people	123	662
124	now	124	658
125	price	125	655
126	week	126	654
127	them	127	650
128	months	128	646
129	much	129	642
130	rose	130	636
131	so	131	611
132	interest	132	609
133	group	133	604
134	investors	134	601
135	bonds	135	596
136	1	136	592
137	make	137	592
138	even	138	590
139	American	139	576
140	next	140	576
141	earnings	141	566
142	did	142	563
143	what	143	562
144	you	144	561
145	three	145	558
146	through	146	558
147	We	147	538
148	yesterday	148	536
149	program	149	535
150	earlier	150	533
151	just	151	530
152	major	152	530
153	made	153	529
154	under	154	528
155	industry	155	524
156	stocks	156	521
157	And	157	518
158	10	158	517
159	net	159	514
160	executive	160	514
161	Japanese	161	511
162	chief	162	510
163	investment	163	503
164	money	164	500
165	expected	165	500
166	month	166	500
167	rate	167	499
168	unit	168	494
169	does	169	491
170	days	170	489
171	state	171	486
172	before	172	485
173	those	173	484
174	federal	174	483
175	officials	175	479
176	off	176	479
177	30	177	473
178	like	178	472
179	while	179	467
180	plan	180	466
181	against	181	463
182	between	182	458
183	buy	183	457
184	issue	184	452
185	rates	185	452
186	sell	186	449
187	recent	187	448
188	They	188	448
189	since	189	447
190	still	190	446
191	For	191	441
192	own	192	440
193	financial	193	438
194	get	194	438
195	ago	195	436
196	Exchange	196	436
197	That	197	433
198	big	198	431
199	she	199	431
200	Japan	200	430
201	firm	201	430
202	chairman	202	429
203	income	203	428
204	funds	204	425
205	these	205	425
206	back	206	420
207	her	207	414
208	profit	208	413
209	offer	209	413
210	debt	210	412
211	well	211	411
212	part	212	409
213	should	213	405
214	higher	214	405
215	bank	215	404
216	including	216	404
217	being	217	401
218	15	218	401
219	products	219	401
220	analysts	220	400
221	securities	221	398
222	fell	222	395
223	take	223	392
224	past	224	386
225	work	225	384
226	This	226	384
227	1988	227	383
228	If	228	382
229	way	229	374
230	reported	230	374
231	House	231	374
232	8	232	373
233	operations	233	371
234	end	234	370
235	tax	235	369
236	lower	236	367
237	?	237	365
238	plans	238	363
239	sold	239	363
240	common	240	362
241	markets	241	362
242	sale	242	362
243	both	243	362
244	yen	244	361
245	growth	245	359
246	during	246	359
247	yield	247	359
248	pay	248	359
249	very	249	355
250	each	250	355
251	Bank	251	352
252	bid	252	352
253	use	253	351
254	less	254	349
255	loss	255	347
256	where	256	345
257	how	257	345
258	banks	258	344
259	another	259	344
260	vice	260	343
261	economic	261	343
262	cash	262	343
263	50	263	340
264	high	264	340
265	few	265	339
266	five	266	339
267	good	267	338
268	costs	268	338
269	increase	269	337
270	average	270	337
271	our	271	336
272	used	272	336
273	Bush	273	334
274	current	274	333
275	due	275	333
276	As	276	332
277	issues	277	332
278	're	278	331
279	might	279	331
280	several	280	330
281	20	281	324
282	index	282	323
283	closed	283	322
284	Stock	284	321
285	added	285	320
286	Friday	286	318
287	At	287	317
288	then	288	317
289	Congress	289	317
290	1989	290	316
291	least	291	316
292	early	292	314
293	National	293	313
294	number	294	311
295	September	295	309
296	spokesman	296	309
297	director	297	309
298	British	298	309
299	2	299	309
300	day	300	308
301	case	301	308
302	concern	302	308
303	stake	303	307
304	too	304	307
305	foreign	305	307
306	report	306	307
307	Some	307	306
308	according	308	306
309	California	309	306
310	public	310	305
311	assets	311	304
312	far	312	301
313	Oct.	313	300
314	trade	314	300
315	Treasury	315	299
316	contract	316	298
317	think	317	297
318	same	318	297
319	law	319	297
320	There	320	297
321	board	321	297
322	third	322	295
323	going	323	295
324	based	324	294
325	bill	325	293
326	officer	326	293
327	small	327	292
328	revenue	328	292
329	already	329	291
330	close	330	290
331	move	331	289
332	exchange	332	289
333	help	333	288
334	among	334	287
335	real	335	287
336	value	336	286
337	court	337	285
338	system	338	283
339	International	339	283
340	ended	340	282
341	oil	341	282
342	agreed	342	282
343	late	343	281
344	him	344	281
345	economy	345	280
346	insurance	346	280
347	1990	347	279
348	One	348	278
349	futures	349	277
350	100	350	276
351	agency	351	276
352	agreement	352	275
353	First	353	272
354	Board	354	271
355	operating	355	270
356	period	356	270
357	San	357	269
358	want	358	269
359	firms	359	267
360	Federal	360	267
361	traders	361	266
362	computer	362	266
363	world	363	265
364	capital	364	265
365	1\/2	365	265
366	little	366	264
367	cost	367	262
368	until	368	262
369	likely	369	262
370	called	370	261
371	1987	371	261
372	office	372	261
373	offering	373	260
374	results	374	260
375	former	375	259
376	Street	376	259
377	problems	377	259
378	production	378	257
379	Wall	379	256
380	six	380	256
381	long	381	255
382	increased	382	255
383	four	383	254
384	maker	384	254
385	compared	385	254
386	see	386	253
387	management	387	253
388	country	388	253
389	Securities	389	252
390	policy	390	252
391	analyst	391	251
392	whether	392	251
393	second	393	251
394	continue	394	251
395	put	395	250
396	large	396	249
397	half	397	249
398	West	398	249
399	dollar	399	248
400	bond	400	248
401	total	401	248
402	President	402	248
403	buying	403	247
404	loans	404	247
405	set	405	247
406	cut	406	246
407	Soviet	407	246
408	go	408	246
409	point	409	246
410	notes	410	246
411	Group	411	246
412	general	412	245
413	without	413	245
414	around	414	245
415	losses	415	244
416	Department	416	244
417	political	417	244
418	corporate	418	243
419	third-quarter	419	243
420	recently	420	242
421	fund	421	241
422	points	422	239
423	Nov.	423	238
424	UAL	424	238
425	home	425	238
426	largest	426	237
427	must	427	236
428	wo	428	236
429	today	429	236
430	though	430	235
431	right	431	235
432	John	432	234
433	selling	433	234
434	announced	434	233
435	further	435	232
436	however	436	231
437	result	437	229
438	problem	438	229
439	come	439	228
440	businesses	440	228
441	plant	441	227
442	change	442	227
443	held	443	226
444	declined	444	226
445	weeks	445	226
446	credit	446	226
447	making	447	225
448	become	448	224
449	strong	449	224
450	When	450	224
451	fiscal	451	223
452	12	452	223
453	support	453	223
454	3\/4	454	222
455	London	455	222
456	give	456	222
